,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,187150000.0,495125.091979,69660000.0,-203220000.0,57190000.0
Tax Rate For Calcs,0.19,0.165042,0.18,0.18,0.19
Normalized EBITDA,47075000000.0,44431000000.0,40324000000.0,37915000000.0,37933000000.0
Total Unusual Items,985000000.0,3000000.0,387000000.0,-1129000000.0,301000000.0
Total Unusual Items Excluding Goodwill,985000000.0,3000000.0,387000000.0,-1129000000.0,301000000.0
Net Income From Continuing Operation Net Minority Interest,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Reconciled Depreciation,13061000000.0,11203000000.0,8740000000.0,6827000000.0,7383000000.0
Reconciled Cost Of Revenue,24043000000.0,24014000000.0,21919000000.0,21799000000.0,20099000000.0
EBITDA,48060000000.0,44434000000.0,40711000000.0,36786000000.0,38234000000.0
EBIT,34999000000.0,33231000000.0,31971000000.0,29959000000.0,30851000000.0
Net Interest Income,278000000.0,154000000.0,3000000.0,6000000.0,99000000.0
Interest Expense,698000000.0,615000000.0,594000000.0,594000000.0,582000000.0
Interest Income,976000000.0,769000000.0,597000000.0,600000000.0,681000000.0
Normalized Income,26949150000.0,27230495125.09198,25506660000.0,25033780000.0,24423190000.0
Net Income From Continuing And Discontinued Operation,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Total Expenses,39712000000.0,42118000000.0,38066000000.0,37979000000.0,35033000000.0
Total Operating Income As Reported,37961000000.0,34323000000.0,32000000000.0,31653000000.0,30552000000.0
Diluted Average Shares,7466000000.0,7461000000.0,7461000000.0,7468000000.0,7470000000.0
Basic Average Shares,7433000000.0,7432000000.0,7434000000.0,7435000000.0,7433000000.0
Diluted EPS,3.72,3.65,3.46,3.23,3.3
Basic EPS,3.73,3.66,3.47,3.24,3.32
Diluted NI Availto Com Stockholders,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Net Income Common Stockholders,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Net Income,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Net Income Including Noncontrolling Interests,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Net Income Continuous Operations,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0
Tax Provision,6554000000.0,5383000000.0,5553000000.0,5257000000.0,5602000000.0
Pretax Income,34301000000.0,32616000000.0,31377000000.0,29365000000.0,30269000000.0
Other Income Expense,-3938000000.0,-1861000000.0,-626000000.0,-2294000000.0,-382000000.0
Other Non Operating Income Expenses,-4923000000.0,-1864000000.0,-1013000000.0,-1165000000.0,-683000000.0
Special Income Charges,-14000000.0,-45000000.0,-24000000.0,-867000000.0,-7000000.0
Write Off,14000000.0,45000000.0,24000000.0,867000000.0,7000000.0
Gain On Sale Of Security,999000000.0,48000000.0,411000000.0,-262000000.0,308000000.0
Net Non Operating Interest Income Expense,278000000.0,154000000.0,3000000.0,6000000.0,99000000.0
Interest Expense Non Operating,698000000.0,615000000.0,594000000.0,594000000.0,582000000.0
Interest Income Non Operating,976000000.0,769000000.0,597000000.0,600000000.0,681000000.0
Operating Income,37961000000.0,34323000000.0,32000000000.0,31653000000.0,30552000000.0
Operating Expense,15669000000.0,18104000000.0,16147000000.0,16180000000.0,14934000000.0
Research And Development,8146000000.0,8829000000.0,8198000000.0,7917000000.0,7544000000.0
Selling General And Administration,7523000000.0,9275000000.0,7949000000.0,8263000000.0,7390000000.0
Selling And Marketing Expense,5717000000.0,7285000000.0,6212000000.0,6440000000.0,5717000000.0
General And Administrative Expense,1806000000.0,1990000000.0,1737000000.0,1823000000.0,1673000000.0
Other Gand A,1806000000.0,1990000000.0,1737000000.0,1823000000.0,1673000000.0
Gross Profit,53630000000.0,52427000000.0,48147000000.0,47833000000.0,45486000000.0
Cost Of Revenue,24043000000.0,24014000000.0,21919000000.0,21799000000.0,20099000000.0
Total Revenue,77673000000.0,76441000000.0,70066000000.0,69632000000.0,65585000000.0
Operating Revenue,77673000000.0,76441000000.0,70066000000.0,69632000000.0,65585000000.0
